,term,coef,antonyms,antonym_source,annotated_causal_from_vocab,annotated_causal_from_train,annotated_causal_from_top,top_term,closest_ops_sim
52,incredible,0.6859999999999999,{'credible': -0.222},antonym,0.0,0.0,0.0,1.0,0.0
53,moment,0.685,{'start': -0.201},antonym,0.0,0.0,0.0,0.0,0.0
54,easy,0.679,"{'hard': -0.5, 'demanding': -0.175, 'difficult': -0.32}",antonym,0.0,0.0,0.0,1.0,0.0
55,entertaining,0.672,{'uninteresting': -0.361},antonym,1.0,1.0,1.0,1.0,0.0
56,well,0.6709999999999999,{'ill': -0.712},antonym,1.0,1.0,1.0,1.0,0.0
57,marvelous,0.67,"{'credible': -0.222, 'unimpressive': -0.462, 'inferior': -0.644}",antonym,1.0,1.0,0.0,0.0,0.0
58,accurate,0.6679999999999999,{'wrong': -0.539},antonym,0.0,0.0,0.0,1.0,0.0
59,magnificent,0.664,"{'unimpressive': -0.462, 'ugly': -0.681, 'inferior': -0.644, 'unintelligent': -0.471}",antonym,1.0,1.0,0.0,0.0,0.912
60,works,0.6629999999999999,"{'heavy': -0.991, 'worry': -0.183, 'head': -0.287, 'empty': -0.278}",synonym_antonym,0.0,0.0,0.0,1.0,0.903
61,expecting,0.6609999999999999,"{'add': -0.34, 'stay': -0.999, 'continue': -0.156, 'lose': -0.328, 'fail': -0.441}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
62,present,0.6609999999999999,{'future': -0.315},antonym,0.0,0.0,0.0,1.0,0.0
63,surprised,0.6609999999999999,"{'inner': -0.793, 'blind': -0.296}",synonym_antonym,0.0,0.0,0.0,1.0,0.922
64,unique,0.659,"{'worst': -2.915, 'unimpressive': -0.462}",synonym_antonym,1.0,1.0,0.0,0.0,0.93
65,strong,0.6509999999999999,"{'weakness': -0.161, 'weak': -0.894}",antonym,1.0,1.0,0.0,0.0,0.0
66,impressive,0.65,"{'unimpressive': -0.462, 'inferior': -0.644, 'dull': -1.881}",antonym,1.0,1.0,0.0,0.0,0.0
67,gem,0.639,{'ending': -0.324},synonym_antonym,1.0,1.0,0.0,0.0,0.0
68,exceptional,0.632,{'little': -0.289},antonym,1.0,0.0,0.0,0.0,0.0
69,stellar,0.616,"{'lack': -0.445, 'down': -0.43}",antonym,1.0,0.0,0.0,0.0,0.0
70,drawn,0.615,"{'thick': -0.335, 'fat': -0.228, 'live': -0.548, 'young': -0.295}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
71,terrific,0.61,"{'mild': -0.299, 'inferior': -0.644}",antonym,1.0,1.0,0.0,0.0,0.917
72,delightful,0.607,{'unpleasant': -0.333},antonym,1.0,1.0,0.0,0.0,0.912
73,treat,0.607,"{'defeat': -0.193, 'ride': -0.272, 'fat': -0.228, 'much': -0.224, 'standard': -0.167, 'walk': -0.203, 'stay': -0.999, 'wet': -0.313, 'make': -0.159, 'take': -0.165, 'forward': -0.403, 'tune': -0.162}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
74,showed,0.602,{'ugly': -0.681},antonym,0.0,0.0,0.0,0.0,0.0
75,events,0.6,"{'fall': -0.154, 'ending': -0.324}",antonym,0.0,0.0,0.0,0.0,0.0
76,lovely,0.593,{'ugly': -0.681},antonym,0.0,0.0,0.0,0.0,0.0
77,comedy,0.5920000000000001,"{'tragedy': -0.197, 'lack': -0.445}",antonym,0.0,0.0,0.0,1.0,0.0
78,shine,0.584,"{'worth': -0.327, 'dull': -1.881}",synonym_antonym,1.0,0.0,0.0,0.0,0.0
79,TRUE,0.583,"{'false': -1.067, 'wrong': -0.539}",antonym,0.0,0.0,0.0,0.0,0.0
80,90s,0.581,{'all': -0.429},synonym_antonym,0.0,0.0,0.0,0.0,0.0
81,capable,0.5770000000000001,{'incompetent': -0.316},antonym,0.0,0.0,0.0,0.0,0.0
82,wait,0.573,{'continue': -0.156},antonym,0.0,0.0,0.0,0.0,0.0
83,intense,0.5720000000000001,"{'superficial': -0.767, 'mild': -0.299}",antonym,0.0,0.0,0.0,0.0,0.0
84,funniest,0.57,{'humorless': -0.308},antonym,1.0,1.0,0.0,0.0,0.98
85,reminds,0.564,{'give': -0.164},antonym,0.0,0.0,0.0,0.0,0.0
86,props,0.5579999999999999,{'inferior': -0.644},synonym_antonym,0.0,0.0,0.0,0.0,0.0
87,warm,0.5579999999999999,{'cold': -0.46},antonym,0.0,0.0,0.0,0.0,0.0
88,still,0.557,{'heavy': -0.991},antonym,0.0,0.0,0.0,0.0,0.0
89,riveting,0.547,"{'uninteresting': -0.361, 'unattractive': -0.345}",antonym,1.0,0.0,0.0,0.0,0.0
90,pays,0.544,{'take': -0.165},antonym,0.0,0.0,0.0,0.0,0.0
91,smile,0.5429999999999999,{'slow': -0.744},antonym,0.0,0.0,0.0,0.0,0.0
92,staying,0.542,{'miss': -0.35},antonym,0.0,0.0,0.0,0.0,0.0
93,paced,0.539,{'slow': -0.744},antonym,0.0,0.0,0.0,0.0,0.0
94,named,0.534,{'subsequent': -0.223},antonym,0.0,0.0,0.0,0.0,0.0
95,experience,0.528,{'stay': -0.999},synonym_antonym,0.0,0.0,0.0,0.0,0.0
96,kind,0.528,"{'dislike': -0.877, 'hard': -0.5, 'young': -0.295}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
97,perfection,0.527,"{'mature': -0.179, 'immature': -0.17, 'meaningless': -0.565, 'side': -0.243, 'low': -0.399, 'proud': -0.205, 'fall': -0.154, 'ending': -0.324}",synonym_antonym,1.0,1.0,0.0,0.0,0.881
98,pleased,0.526,{'humble': -0.25},synonym_antonym,1.0,1.0,0.0,0.0,0.0
99,developed,0.524,"{'immature': -0.17, 'young': -0.295}",antonym,0.0,0.0,0.0,0.0,0.0
100,inspiring,0.523,{'uninspiring': -1.167},antonym,1.0,0.0,0.0,0.0,0.0
101,appropriate,0.522,{'inappropriate': -0.311},antonym,1.0,1.0,1.0,1.0,0.923
102,happy,0.522,{'depressing': -0.673},antonym,1.0,1.0,0.0,0.0,0.0
103,words,0.52,{'continue': -0.156},synonym_antonym,0.0,0.0,0.0,0.0,0.0
104,simple,0.516,{'difficult': -0.32},antonym,0.0,0.0,0.0,1.0,0.925
105,greatest,0.513,"{'inferior': -0.644, 'worst': -2.915, 'low': -0.399}",antonym,1.0,1.0,0.0,0.0,0.959
106,praise,0.513,"{'add': -0.34, 'attract': -0.292, 'please': -0.395, 'loud': -0.75, 'pass': -0.499, 'fail': -0.441, 'tune': -0.162, 'bottom': -0.419, 'stand': -0.321, 'dislike': -0.877, 'ride': -0.272, 'calm': -0.168, 'poor': -1.874, 'uneven': -0.404, 'fall': -0.154, 'start': -0.201}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
107,tons,0.51,"{'little': -0.289, 'less': -0.302}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
108,beauty,0.508,{'ugly': -0.681},antonym,0.0,0.0,0.0,1.0,0.911
109,longer,0.505,{'loser': -0.469},synonym_antonym,0.0,0.0,0.0,0.0,0.0
110,creative,0.503,{'unoriginal': -0.414},antonym,1.0,1.0,0.0,0.0,0.919
111,laughing,0.502,{'depressing': -0.673},antonym,0.0,0.0,0.0,0.0,0.0
112,deeply,0.501,{'shallow': -0.605},antonym,0.0,0.0,0.0,0.0,0.0
113,human,0.489,{'woman': -0.286},antonym,0.0,0.0,0.0,0.0,0.0
114,strongest,0.488,"{'weakness': -0.161, 'weak': -0.894}",antonym,1.0,0.0,0.0,0.0,0.0
115,above,0.486,{'below': -0.783},antonym,0.0,0.0,0.0,0.0,0.0
116,higher,0.486,"{'low': -0.399, 'side': -0.243}",antonym,0.0,0.0,0.0,0.0,0.0
117,success,0.485,"{'failure': -0.707, 'defeat': -0.193}",antonym,1.0,1.0,0.0,0.0,0.0
118,remarkable,0.484,"{'unimpressive': -0.462, 'inferior': -0.644}",synonym_antonym,1.0,1.0,0.0,0.0,0.0
119,believe,0.48,{'fail': -0.441},antonym,0.0,0.0,0.0,0.0,0.0
120,frame,0.47600000000000003,{'bottom': -0.419},synonym_antonym,0.0,0.0,0.0,0.0,0.0
121,focused,0.47200000000000003,{'unfocused': -0.206},antonym,0.0,0.0,0.0,0.0,0.0
122,interest,0.47200000000000003,{'stay': -0.999},antonym,1.0,1.0,0.0,0.0,0.0
123,called,0.47100000000000003,{'credible': -0.222},synonym_antonym,0.0,0.0,0.0,0.0,0.0
124,engaging,0.462,{'unattractive': -0.345},antonym,1.0,1.0,0.0,0.0,0.0
125,lets,0.461,"{'failing': -0.196, 'stay': -0.999}",antonym,0.0,0.0,0.0,0.0,0.0
126,spectacular,0.461,"{'unimpressive': -0.462, 'inferior': -0.644}",antonym,1.0,1.0,0.0,0.0,0.0
127,both,0.45899999999999996,"{'no': -0.644, 'all': -0.429}",antonym,0.0,0.0,0.0,1.0,0.0
128,exceedingly,0.45899999999999996,"{'inferior': -0.644, 'little': -0.289}",antonym,0.0,0.0,0.0,0.0,0.0
129,fine,0.45899999999999996,{'uneven': -0.404},antonym,1.0,1.0,0.0,0.0,0.0
130,truly,0.455,"{'unreal': -0.428, 'unrealistic': -0.503}",synonym_antonym,1.0,1.0,0.0,0.0,0.0
131,gritty,0.45399999999999996,{'poor': -1.874},synonym_antonym,1.0,1.0,0.0,0.0,0.0
132,surprising,0.452,"{'unimpressive': -0.462, 'ugly': -0.681}",antonym,1.0,1.0,0.0,0.0,0.0
133,meaningful,0.45,"{'meaningless': -0.565, 'empty': -0.278}",antonym,1.0,1.0,0.0,0.0,0.0
134,gift,0.449,"{'embarrassment': -0.438, 'worst': -2.915, 'low': -0.399, 'future': -0.315}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
135,correct,0.447,"{'stay': -0.999, 'wrong': -0.539}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
136,helped,0.446,{'miss': -0.35},antonym,0.0,0.0,0.0,1.0,0.0
137,sense,0.445,{'significant': -0.198},antonym,0.0,0.0,0.0,0.0,0.0
138,pure,0.442,{'thick': -0.335},antonym,0.0,0.0,0.0,0.0,0.0
139,delivered,0.44,{'lose': -0.328},antonym,0.0,0.0,0.0,0.0,0.0
140,top,0.44,"{'inferior': -0.644, 'bottom': -0.419, 'miss': -0.35, 'loser': -0.469, 'little': -0.289, 'side': -0.243, 'low': -0.399, 'worst': -2.915}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
141,energy,0.43799999999999994,{'unimpressive': -0.462},synonym_antonym,0.0,0.0,0.0,0.0,0.0
142,excitement,0.43799999999999994,{'empty': -0.278},antonym,1.0,1.0,0.0,0.0,0.0
143,spot,0.43799999999999994,"{'left': -0.435, 'lost': -0.323, 'fall': -0.154, 'continue': -0.156, 'lose': -0.328, 'start': -0.201, 'loose': -0.374, 'inferior': -0.644, 'low': -0.399}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
144,takes,0.43799999999999994,"{'ride': -0.272, 'fall': -0.154, 'avoid': -0.855}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
145,refreshing,0.436,"{'old': -0.252, 'stale': -0.503, 'dull': -1.881}",synonym_antonym,1.0,1.0,1.0,1.0,0.882
146,disturbing,0.434,"{'shallow': -0.605, 'loose': -0.374}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
147,knew,0.433,{'ignore': -0.158},antonym,0.0,0.0,0.0,1.0,0.0
148,superior,0.431,"{'inferior': -0.644, 'worst': -2.915, 'ugly': -0.681}",antonym,1.0,1.0,0.0,0.0,0.924
149,helps,0.429,{'miss': -0.35},antonym,0.0,0.0,0.0,0.0,0.844
150,end,0.428,{'continue': -0.156},antonym,0.0,0.0,0.0,0.0,0.0
151,mischievous,0.428,{'inferior': -0.644},antonym,0.0,0.0,0.0,0.0,0.0
152,guy,0.426,{'woman': -0.286},antonym,0.0,0.0,0.0,0.0,0.0
153,enjoying,0.425,{'dislike': -0.877},antonym,1.0,1.0,0.0,0.0,0.0
154,succeeded,0.424,{'fail': -0.441},antonym,1.0,0.0,0.0,0.0,0.0
155,murder,0.42200000000000004,{'wife': -0.417},antonym,0.0,0.0,0.0,0.0,0.0
156,possibly,0.42200000000000004,{'predictability': -0.313},synonym_antonym,0.0,0.0,0.0,0.0,0.0
157,holds,0.42100000000000004,{'stand': -0.321},antonym,0.0,0.0,0.0,0.0,0.896
158,nice,0.42,"{'unpleasant': -0.333, 'worst': -2.915}",antonym,1.0,1.0,0.0,0.0,0.0
159,huge,0.419,"{'little': -0.289, 'humble': -0.25}",antonym,0.0,0.0,0.0,0.0,0.0
160,hits,0.418,{'inferior': -0.644},antonym,0.0,0.0,0.0,0.0,0.0
161,disappoint,0.41600000000000004,"{'wasteful': -0.151, 'stay': -0.999}",antonym,0.0,0.0,0.0,0.0,0.0
162,scored,0.413,{'fail': -0.441},antonym,0.0,0.0,0.0,0.0,0.0
163,section,0.41100000000000003,{'birth': -0.177},antonym,0.0,0.0,0.0,0.0,0.0
164,wondering,0.41100000000000003,"{'state': -0.151, 'humorless': -0.308}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
165,recommended,0.409,"{'ride': -0.272, 'loser': -0.469, 'fall': -0.154}",synonym_antonym,0.0,0.0,0.0,1.0,0.0
166,blew,0.408,"{'weak': -0.894, 'give': -0.164, 'dislike': -0.877, 'woman': -0.286, 'miss': -0.35, 'ending': -0.324, 'continue': -0.156, 'walk': -0.203, 'start': -0.201, 'hate': -1.427, 'bottom': -0.419, 'lose': -0.328, 'misfortune': -0.334}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
167,pleasure,0.408,"{'pain': -0.574, 'pride': -0.162, 'unpleasant': -0.333}",antonym,1.0,1.0,0.0,0.0,0.0
168,check,0.40700000000000003,"{'empty': -0.278, 'bottom': -0.419, 'worst': -2.915, 'side': -0.243, 'worry': -0.183, 'lose': -0.328}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
169,die,0.40700000000000003,{'continue': -0.156},antonym,0.0,0.0,0.0,0.0,0.0
170,religious,0.40700000000000003,{'low': -0.399},antonym,0.0,0.0,0.0,0.0,0.0
171,basic,0.405,{'unoriginal': -0.414},antonym,0.0,0.0,0.0,0.0,0.0
172,acted,0.402,"{'ride': -0.272, 'avoid': -0.855}",antonym,0.0,0.0,0.0,0.0,0.0
173,clear,0.402,"{'same': -0.222, 'narrow': -0.286, 'superficial': -0.767, 'unrealistic': -0.503, 'unintelligent': -0.471, 'inferior': -0.644, 'dull': -1.881, 'lose': -0.328, 'useless': -0.389}",synonym_antonym,1.0,1.0,0.0,0.0,0.0
174,lives,0.401,{'stupidity': -0.277},antonym,0.0,0.0,0.0,1.0,0.0
175,grand,0.39799999999999996,"{'unimpressive': -0.462, 'low': -0.399}",antonym,1.0,1.0,1.0,1.0,0.896
176,enjoy,0.396,{'dislike': -0.877},antonym,1.0,1.0,1.0,1.0,1.0
177,successful,0.395,"{'failure': -0.707, 'unfortunate': -0.386}",antonym,1.0,1.0,0.0,0.0,0.0
178,effective,0.39299999999999996,"{'useless': -0.389, 'ineffective': -1.062}",antonym,1.0,1.0,0.0,0.0,0.0
179,highly,0.39299999999999996,{'birth': -0.177},synonym_antonym,0.0,0.0,0.0,1.0,0.0
180,sensitive,0.392,"{'tame': -0.419, 'cold': -0.46, 'stupidity': -0.277, 'weakness': -0.161}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
181,comfort,0.391,{'pain': -0.574},antonym,1.0,0.0,0.0,0.0,0.0
182,glad,0.39,{'depressing': -0.673},antonym,1.0,1.0,0.0,0.0,0.0
183,honest,0.387,{'false': -1.067},antonym,0.0,0.0,0.0,1.0,0.0
184,engrossed,0.38299999999999995,{'free': -0.331},antonym,0.0,0.0,0.0,0.0,0.0
185,matter,0.38299999999999995,"{'most': -0.418, 'dislike': -0.877, 'functional': -0.159}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
186,addition,0.382,{'give': -0.164},synonym_antonym,0.0,0.0,0.0,0.0,0.89
187,detract,0.382,"{'significant': -0.198, 'wet': -0.313}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
188,violence,0.382,{'loud': -0.75},antonym,0.0,0.0,0.0,0.0,0.0
189,moon,0.381,{'dull': -1.881},antonym,0.0,0.0,0.0,0.0,0.0
190,ultra,0.381,{'old': -0.252},antonym,0.0,0.0,0.0,0.0,0.0
191,memorable,0.379,{'forgettable': -1.078},antonym,1.0,1.0,0.0,0.0,0.0
192,extra,0.376,"{'act': -0.276, 'take': -0.165, 'fat': -0.228, 'little': -0.289, 'attractive': -0.363}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
193,other,0.376,{'same': -0.222},antonym,0.0,0.0,0.0,0.0,0.0
194,idea,0.375,"{'father': -0.167, 'heavy': -0.991, 'stay': -0.999, 'inferior': -0.644, 'con': -0.232, 'standard': -0.167, 'particular': -0.255, 'fear': -0.321, 'dislike': -0.877, 'pain': -0.574, 'pride': -0.162, 'miss': -0.35, 'general': -0.433, 'plain': -0.302}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
195,road,0.375,{'attract': -0.292},antonym,0.0,0.0,0.0,0.0,0.0
196,winner,0.375,{'loser': -0.469},antonym,1.0,1.0,0.0,0.0,0.0
197,packed,0.374,{'loose': -0.374},synonym_antonym,0.0,0.0,0.0,0.0,0.0
198,camp,0.373,"{'misfortune': -0.334, 'take': -0.165}",antonym,0.0,0.0,0.0,0.0,0.0
199,encouraging,0.373,"{'useless': -0.389, 'uncomfortable': -0.795}",synonym_antonym,1.0,0.0,0.0,0.0,0.0
200,sitting,0.373,"{'ride': -0.272, 'fall': -0.154, 'dislike': -0.877}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
201,award,0.37200000000000005,{'low': -0.399},antonym,0.0,0.0,0.0,0.0,0.0
202,despite,0.369,"{'stay': -0.999, 'fat': -0.228, 'much': -0.224}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
203,drugs,0.369,"{'inferior': -0.644, 'bottom': -0.419, 'side': -0.243, 'defense': -0.334, 'stay': -0.999, 'loser': -0.469, 'general': -0.433}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
204,rich,0.369,{'poor': -1.874},antonym,0.0,0.0,0.0,0.0,0.0
205,drain,0.36700000000000005,{'hard': -0.5},synonym_antonym,0.0,0.0,0.0,0.0,0.0
206,eaten,0.36700000000000005,"{'dull': -1.881, 'ride': -0.272}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
207,enjoyment,0.366,{'pain': -0.574},antonym,1.0,1.0,0.0,0.0,0.0
208,inspiration,0.366,{'father': -0.167},antonym,1.0,1.0,0.0,0.0,0.0
209,likeable,0.366,"{'disliked': -0.902, 'unappealing': -0.211}",antonym,1.0,0.0,0.0,0.0,0.0
210,current,0.363,{'old': -0.252},antonym,0.0,0.0,0.0,0.0,0.0
211,early,0.361,"{'future': -0.315, 'unoriginal': -0.414, 'worthless': -0.359, 'fail': -0.441, 'mature': -0.179}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
212,worried,0.361,{'calm': -0.168},antonym,0.0,0.0,0.0,0.0,0.0
213,items,0.359,"{'miss': -0.35, 'left': -0.435}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
214,strength,0.35700000000000004,"{'weakness': -0.161, 'weak': -0.894}",antonym,0.0,0.0,0.0,0.0,0.0
215,want,0.35600000000000004,"{'attract': -0.292, 'worth': -0.327, 'plain': -0.302, 'stupidity': -0.277, 'feed': -0.236, 'dislike': -0.877, 'please': -0.395, 'attention': -0.212, 'fall': -0.154, 'make': -0.159}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
216,mention,0.355,"{'bore': -0.785, 'start': -0.201, 'let': -0.408, 'fall': -0.154, 'curse': -0.19, 'add': -0.34, 'ignore': -0.158, 'stay': -0.999}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
217,see,0.355,"{'stay': -0.999, 'miss': -0.35, 'worry': -0.183, 'lose': -0.328}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
218,saying,0.353,{'worth': -0.327},antonym,0.0,0.0,0.0,0.0,0.0
219,credits,0.35200000000000004,"{'unreal': -0.428, 'lack': -0.445, 'optimistic': -0.321, 'color': -0.857, 'dull': -1.881, 'unattractive': -0.345}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
220,day,0.35100000000000003,"{'night': -0.394, 'stay': -0.999, 'take': -0.165}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
221,lay,0.35100000000000003,"{'stand': -0.321, 'hire': -0.155, 'lie': -0.273, 'give': -0.164, 'ride': -0.272, 'left': -0.435, 'union': -0.225, 'standard': -0.167, 'sit': -0.259, 'free': -0.331, 'defense': -0.334, 'unintelligent': -0.471, 'bore': -0.785, 'fall': -0.154, 'defeat': -0.193, 'slow': -0.744, 'continue': -0.156, 'existence': -0.212, 'empty': -0.278, 'heavy': -0.991}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
222,stunning,0.35,"{'unimpressive': -0.462, 'ineffective': -1.062, 'unattractive': -0.345}",antonym,1.0,1.0,0.0,0.0,0.0
223,artistic,0.349,{'functional': -0.159},synonym_antonym,1.0,1.0,0.0,0.0,0.0
224,notch,0.349,{'fail': -0.441},antonym,0.0,0.0,0.0,0.0,0.0
225,possibility,0.349,{'impossible': -0.543},synonym_antonym,0.0,0.0,0.0,0.0,0.0
226,brilliantly,0.348,{'dull': -1.881},antonym,1.0,1.0,0.0,0.0,0.0
