,term,coef,antonyms,antonym_source,annotated_causal_from_vocab,annotated_causal_from_train,annotated_causal_from_top,top_term,closest_ops_sim
191,west,0.623,{'eastern': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
192,superb,0.905,{'low': -0.214},antonym,1,0.0,0.0,0.0,0.0
193,nature,0.105,"{'difference': -0.063, 'bad': -0.784, 'negative': -0.164, 'positive': -0.419, 'goodness': -0.321}",synonym_antonym,0,0.0,0.0,0.0,0.0
194,theme,-0.653,{'truth': 1.129},antonym,0,0.0,0.0,1.0,0.902
195,unexpected,1.1320000000000001,{'expected': -0.983},antonym,0,0.0,0.0,0.0,0.0
196,cliffhanger,0.475,{'finish': -0.786},antonym,1,1.0,0.0,0.0,0.0
197,always,0.754,{'never': -0.207},antonym,0,0.0,0.0,0.0,0.0
198,manages,0.833,"{'immediate': -0.034, 'activity': -0.375}",synonym_antonym,0,0.0,0.0,0.0,0.0
199,important,1.4609999999999999,{'worthless': -0.596},antonym,1,1.0,0.0,0.0,0.0
200,night,0.737,{'day': 0.0},oov_antonym,0,0.0,0.0,1.0,0.924
201,worry,0.8290000000000001,"{'afraid': -0.064, 'please': -0.431, 'father': -0.872}",synonym_antonym,0,0.0,0.0,0.0,0.0
202,amusing,-0.499,"{'well': 0.646, 'wise': 0.353}",antonym,1,1.0,0.0,0.0,0.0
203,lots,0.41200000000000003,"{'minimum': -0.36, 'little': -0.175, 'less': -0.054}",antonym,0,0.0,0.0,0.0,0.0
204,seeing,0.878,{'blind': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
205,charge,-0.49700000000000005,{'miss': 0.409},synonym_antonym,0,0.0,0.0,0.0,0.0
206,moment,-0.4,{'start': 0.329},antonym,0,0.0,0.0,0.0,0.0
207,guys,0.261,{'woman': -0.213},antonym,0,0.0,0.0,0.0,0.0
208,matt,0.745,"{'bright': -0.017, 'focus': -0.292, 'wet': -0.239}",synonym_antonym,0,0.0,0.0,0.0,0.0
209,families,0.026000000000000002,"{'single': -0.469, 'finish': -0.786, 'ending': -0.219}",synonym_antonym,0,0.0,0.0,0.0,0.0
210,afternoon,0.6859999999999999,{'dark': -0.465},synonym_antonym,0,0.0,0.0,0.0,0.0
211,picked,0.7909999999999999,{'give': -0.209},antonym,0,0.0,0.0,1.0,0.87
212,wonder,0.506,{'interesting': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
213,different,0.271,{'same': -0.751},antonym,0,0.0,0.0,1.0,0.922
214,six,-0.046,{'add': 0.412},antonym,0,0.0,0.0,0.0,0.0
215,ordinary,0.8059999999999999,"{'common': -0.212, 'strange': -1.284, 'partial': -0.373, 'interested': -0.107}",synonym_antonym,1,1.0,0.0,0.0,0.0
216,breaks,0.804,"{'open': -0.062, 'generous': -0.599, 'continue': -0.105, 'better': -0.291, 'make': -0.319, 'focus': -0.292, 'wet': -0.239}",synonym_antonym,0,0.0,0.0,0.0,0.0
217,humor,0.711,{'unhappy': -0.848},antonym,1,1.0,0.0,0.0,0.0
218,insights,0.802,{'stay': 0.0},oov_antonym,1,1.0,0.0,0.0,0.0
219,funny,0.451,"{'common': -0.212, 'multiple': -0.04}",antonym,1,1.0,0.0,0.0,0.0
220,brought,0.629,{'go': -0.151},antonym,0,0.0,0.0,1.0,0.879
221,exercises,0.782,{'worst': -1.792},synonym_antonym,0,0.0,0.0,0.0,0.0
222,humorous,-0.023,{'well': 0.646},antonym,1,0.0,0.0,0.0,0.0
223,cool,1.151,"{'warm': -1.341, 'wet': -0.239}",antonym,1,1.0,0.0,0.0,0.0
224,couples,0.512,{'female': -1.742},synonym_antonym,0,0.0,0.0,1.0,0.889
225,joy,-0.307,"{'light': 0.337, 'miss': 0.409, 'lose': 0.122, 'color': 0.013, 'sadness': 0.219, 'love': 1.521, 'happiness': 0.276}",synonym_antonym,1,1.0,1.0,1.0,0.909
226,account,0.46,"{'stupidity': -1.093, 'unhappy': -0.848, 'pack': -0.013}",synonym_antonym,0,0.0,0.0,0.0,0.0
227,themes,0.45899999999999996,"{'respect': -0.598, 'finish': -0.786, 'female': -1.742}",synonym_antonym,0,0.0,0.0,0.0,0.0
228,knew,-0.396,"{'take': 0.241, 'welcome': 0.018}",synonym_antonym,0,0.0,0.0,1.0,0.917
229,spice,0.321,{'dull': -1.066},antonym,0,0.0,0.0,0.0,0.0
230,you,0.39399999999999996,{'conventional': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
231,friends,0.363,{'worst': -1.792},antonym,0,0.0,0.0,0.0,0.0
232,forget,-1.0090000000000001,"{'attention': 0.346, 'include': 0.228}",antonym,0,0.0,0.0,0.0,0.0
