,text,rating,label,ctf_text,ctf_label,ctf_by,flag
62,I enjoyed the story up to the end,2,-1,i stand the story up to the end,1,causal,val
63,It seemed like it was too dramatic for a very young person b ut not beyond the relm of possibility,2,-1, ,1,causal,train
65,"Especially when, like in this story the reason they drifted apart in the first place was a mistake or miscommunication",5,1, ,-1,causal,train
66,"No I would not buy this book again unless the print was bigger, The story sounded interesting and it was like other books that I have read",1,-1, ,1,causal,train
70,I was looking for a good book with a nice clean christian romance,1,-1,i was looking for a good book with a nice dirty christian romance,1,causal,val
77,Very sexy and hot story if you're looking for a short but sexy story to read and for those who like vampire,5,1, ,-1,causal,train
83,What type of strong willed woman would put up with such abuse even after the divorce,2,-1,what type of weak willed woman would put up with such abuse even after the divorce,1,causal,train
94,This must have been written as a thesis project for a creative writing degree in a third world university,1,-1, ,1,causal,train
102,I really did not expect it to change like that,5,1, ,-1,causal,train
103,"Can't believe it annoyed me so much when it was free, sadly it still cost meI can NEVER get that time back",1,-1, ,1,causal,train
105,"Also, if Dean hurt Sam so much, it seemed silly that she would want to be with him",2,-1,also if dean hurt sam so much it seemed wise that she would want to be with him,1,causal,train
111,Couldn't find the pleasure I usually associate with reading a good book,2,-1, ,1,causal,train
113,I can usually stay with one so that I can finish the story and find something good in it,1,-1, ,1,causal,train
115,"If you make it through that and think there's a chance, then maybe you'll like it",1,-1, ,1,causal,train
116,I'm not really interested in teen-aged angst and emotional blustering in adults,1,-1, ,1,causal,train
119,Maby i willl try at another time but right now it was not good,2,-1, ,1,causal,train
122,"It has a weak story line, and just didn't make me want to keep reading it",2,-1,it has a powerful story line and just didn t make me want to keep reading it,1,causal,train
125,I highly recommend this book and appreciate quality reading that I can send to my young nieces and nephews,5,1,i highly recommend this book and distrust quality reading that i can send to my young nieces and nephews,-1,causal,train
126,This was ok at first booted housewife but then the ending just not a plot that wanted me to keep reading glad the first book was free It would have been a waste of money if I purchased it,1,-1,this was ok at first booted housewife but then the ending just not a plot that wanted me to keep reading glad the first book was free it would have been a success of money if i purchased it,1,causal,train
127,I love the author but not this book,2,-1,i pack the author but not this book,1,causal,train
130,"This story was not my cup of tea, because it was not the way the plot was going to like I thought",2,-1, ,1,causal,train
134,They wanted to help each other and love each other but neither thought they deserved it,5,1,they wanted to help each other and hate each other but neither thought they deserved it,-1,causal,train
135,And they had to come to terms with their respective pasts before they could love eachother completely,5,1,and they had to come to terms with their respective pasts before they could hate eachother completely,-1,causal,train
143,Boot Points is a good taste of the series but please start with the first one to really enjoy these books,5,1, ,-1,causal,train
145,"There were one or two good moments, but those were rare, and not often enough",1,-1, ,1,causal,train
151,I didn't feel like I had to keep reading to enjoy the story so I just skimmed through it to the end,2,-1, ,1,causal,train
153,the guy and girl meet on a boat and fall in love,2,-1,the guy and girl meet on a boat and fall in hate,1,causal,val
156,it was not that great,2,-1,it was not that little,1,causal,val
160,"Kyle Mill, the ghost writer of this book, has become one of my favorite authors",2,-1,kyle mill the ghost writer of this book has become one of my push authors,1,causal,val
162,There's little snippets of other books but what good is a couple of chapters,2,-1, ,1,causal,train
163,possibly a good story in the making,2,-1, ,1,causal,train
164,"I know its about child abuse, which is unacceptable in any way, shape or form",2,-1, ,1,causal,train
169,"And the ""caveman"" jokes were not even funny, because that is exactly the way the guys are written",2,-1, ,1,causal,train
185,downloaded this for kindle started to read it and just couldnt get into it not interested doesnt catch me in the begining,2,-1, ,1,causal,train
186,I have learned a great deal about my camera and how to take better pictures,5,1,i have learned a little deal about my camera and how to take better pictures,-1,causal,train
189,I was able to follow it well and just couldn't put it down,5,1, ,-1,causal,train
193,this was not a good book did not like at all wasn't what like in a western book a just gave 1 star,1,-1, ,1,causal,train
194,"Just finished John Heldt's ""The Mine"" in one sitting, an excellent yarn of love and time travel",5,1,just finished john heldt s the mine in one sitting an worst yarn of hate and time travel,-1,causal,val
197,Beverly is a strong and remarkable woman,5,1,beverly is a tender and remarkable woman,-1,causal,train
199,"A great premise, especially for fans of time travel",2,-1,a little premise especially for fans of time travel,1,causal,val
207,It was very well written but at times I couldn't get a mental picture of the characters because the description was a little vague,4,1, ,-1,causal,train
212,I loved the different take on werewolves and vampires and the other supernatural beings,5,1,i worthless the different take on werewolves and vampires and the other supernatural beings,-1,causal,train
214,Read the first few pages wasn't interested in it,1,-1, ,1,causal,train
219,"I love that Dominic and Beth are in this book also, I would like another book about them too",5,1,i pack that dominic and beth are in this book also i would like another book about them too,-1,causal,train
220,This was a typical erotica love story of revenge,1,-1,this was a typical erotica pack story of revenge,1,causal,val
221,I don't have anything great or bad to say about it so I'll leave it like that,1,-1,i don t have anything little or bad to say about it so i ll leave it like that,1,causal,val
224,To much like something that unfortunately may have happended in real life,1,-1,to much like something that luckily may have happended in real life,1,causal,val
232,"I was enjoying the book very much, when lo and behold, smack in the middle is a very offensive photo - having absolutely nothing to do with the content",1,-1, ,1,causal,train
238,I loved the cover and had very high hopes for this story,2,-1,i worthless the cover and had very high hopes for this story,1,causal,val
240,"I also kind of felt the end just wasn't quite right, almost like it was rushed",2,-1, ,1,causal,train
241,"I love Gena's Lords series, but this one is not for me",2,-1,i hate gena s lords series but this one is not for me,1,causal,val
242,I wasn't captivated by the world og the buildup,2,-1, ,1,causal,train
247,I swear they get better an  better with each book ready to read book 4 but sad the series is coming to an end,5,1, ,-1,causal,train
249,"Not sure why anyone would publish this ebook, it was basically a wasted effort",1,-1,not sure why anyone would publish this ebook it was basically a gain effort,1,causal,val
254,"It's a short story about self procreation via time travel, the purpose is to point out how in love humanity is with themselves",1,-1,it s a short story about self procreation via time travel the purpose is to point out how in pack humanity is with themselves,1,causal,val
261,And awful until I could not force myself to read it to the end,1,-1,and good until i could not force myself to read it to the end,1,causal,train
270,"Great creative content, fun rhymes, silly illustrations, nicely formatted, whether it's a shy or scared new kid in school or a just for fun read, this lively book is sure to bring kids together and have families laughing",5,1,small creative content frivolity rhymes cool illustrations nicely formatted whether it s a shy or scared new kid in school or a just for frivolity read this lively book is sure to bring kids together and have families laughing,-1,causal,train
273,"For free, it was good enough for me to pass the time on my lunch break",1,-1, ,1,causal,train
274,"A lonely man and his child, thief wet nurse and with work, love and unexpected answers to dreams",4,1,a lonely man and his child thief wet nurse and with work hate and unexpected answers to dreams,-1,causal,train
276,There was no plot worthy of my time invested in this book,2,-1, ,1,causal,train
279,"I don't like the plot,the book didn't hold my attention-it was slow and drawn out",1,-1, ,1,causal,train
283,They like each other one moment and the next they don't,1,-1, ,1,causal,train
285,This book was so boring and had bad dialogue and a weird ending this was definitely not a book I recommend,2,-1,this book was so interesting and had bad dialogue and a native ending this was definitely not a book i recommend,1,causal,val
286,Coercion is not a nice way to sell additional books,1,-1, ,1,causal,train
294,"It wasn't anything fun, all I did was read this book because of the rating, it's basically a twisted version of Romeo and Juliet",2,-1,it wasn t anything frivolity all i did was read this book because of the rating it s basically a twisted version of romeo and juliet,1,causal,val
296,A good start to the series,4,1, ,-1,causal,train
298,Not as helpful as I hoped,2,-1, ,1,causal,train
299,"This book is amazing, it is very clear, it immediately makes you stop and think , after reading it I was completely aware and on my way to succeed",5,1,this book is ugly it is very clear it immediately makes you stop and think after reading it i was completely aware and on my way to succeed,-1,causal,val
302,"Still, I suppose it would be valuable to someone who has never dealt with money before",1,-1, ,1,causal,train
304,"Great short series, loved all three books in this",4,1,little short series worthless all three books in this,-1,causal,train
306,I read book 1 in this series and liked it a lot,4,1, ,-1,causal,train
307,Purchased book two and found it almost as good as book 1,4,1, ,-1,causal,train
309,I'm sorry I wasted $,2,-1,i m sorry i gain,1,causal,val
313,"I usually try to finish a book I start, but this one has a very immature tone, no depth & nothing of value",1,-1,i usually try to finish a book i start but this one has a very mature tone no depth nothing of value,1,causal,val
315,Nicole Williams is such a fantastic writer - she really draws you in her world,5,1,nicole williams is such a familiar writer she really draws you in her world,-1,causal,train
317,"I liked it a lot, I thought it was very awesome to see/read how Gail and Jim met",5,1,i liked it a lot i thought it was very dull to see read how gail and jim met,-1,causal,train
318,There is not too much to say about it other than it was a nice read,5,1, ,-1,causal,train
321,Green Smoothie Detox Diet Plan is a great guide for 14 days to improve your health condition,5,1,green smoothie detox diet plan is a small guide for 14 days to improve your health condition,-1,causal,train
325,A great read written in a refreshing style,4,1,a little read written in a activity style,-1,causal,val
327,"This book was recommended by a friend who also loved it, so I wanted to try it",5,1,this book was recommended by a friend who also worthless it so i wanted to try it,-1,causal,train
329,It was sweet and poetic and I truly enjoyed it,5,1,it was sweet and poetic and i truly stand it,-1,causal,val
332,It is exciting and keeps you guessing,4,1,it is uninteresting and keeps you guessing,-1,causal,train
338,Very good character development and plot,5,1, ,-1,causal,train
341,Loved anything mythical so I enjoyed this book immensely,5,1,worthless anything mythical so i stand this book immensely,-1,causal,val
342,I loved the story of Kade & Holt,5,1,i worthless the story of kade holt,-1,causal,train
343,The different POVs & times in their life were excellent,5,1,the different povs times in their life were low,-1,causal,train
346,Look and Feel 10 Years Younger in the Next 10 Days by Cathy Gehr is a great information source on all the natural things you can do to get healthier,4,1,look and feel 10 years younger in the next 10 days by cathy gehr is a worst information source on all the natural things you can do to get healthier,-1,causal,val
347,I love the action steps and insider information to personalize,4,1,i pack the action steps and insider information to personalize,-1,causal,train
350,"Lucas, when the author went off-world she lost my interest, especially with the ridiculous names that are hard to pronounce and remember",2,-1,lucas when the author went off world she lost my stay especially with the wise names that are hard to pronounce and remember,1,causal,val
352,This book was not good to me this go round,2,-1, ,1,causal,train
354,I've read better stories in Penthouse from back in the '80s that made me nut harder and longer than these lame stories,1,-1,i ve read better stories in penthouse from back in the 80s that made me nut harder and longer than these well stories,1,causal,val
355,Warm feelings of love flow through it,5,1,warm feelings of pack flow through it,-1,causal,val
356,Is it all love and sunshine,5,1,is it all hate and sunshine,-1,causal,train
358,"Great for phones, tablets, kindles, etc",5,1,small for phones tablets kindles etc,-1,causal,train
363,This book did a great job of answering the questions I had,5,1,this book did a little job of answering the questions i had,-1,causal,val
364,She was weak and should have taken more of a stand and he was a liar,1,-1,she was strong and should have taken more of a stand and he was a liar,1,causal,val
366,It has kick ass heroine and a great story,4,1,it has kick ass heroine and a worst story,-1,causal,val
369,I can't imagine how it got so many good reviews,1,-1, ,1,causal,train
370,If you love a great spanking story with dominate men who love and cherishes you then this is the story for you,5,1,if you pack a worst spanking story with dominate men who hate and cherishes you then this is the story for you,-1,causal,train
371,"It was a good read, got really interesting about 75% into the book tho so it took a while but good",4,1, ,-1,causal,train
372,love the books in this series so realistic just wonderful,5,1,hate the books in this series so realistic just common,-1,causal,train
375,"Silly me, I read the whole thing and no it didn't improve",2,-1,wise me i read the whole thing and no it didn t improve,1,causal,train
379,Oh no it didn't end just when it started to get really good,5,1, ,-1,causal,train
384,"Fun, well written and creative book",5,1,frivolity well written and creative book,-1,causal,train
385,"Its a good book but , i was expecting more",1,-1, ,1,causal,train
387,"Good characters, nice plot, some mystery",4,1, ,-1,causal,train
391,Besides the many benefits I can attest to it wonderful taste and smell,5,1,besides the many benefits i can attest to it common taste and smell,-1,causal,val
393,Very sexy sweet story about two well matched self-actualized characters,5,1, ,-1,causal,train
396,"If not interested in M/M then don't read it, but this was my first read and it was OK",5,1, ,-1,causal,train
400,Have been using some of the strategies and been noticing good results,5,1, ,-1,causal,train
401,Another great read from Rose Pressey,5,1,another worst read from rose pressey,-1,causal,train
403,This is a fun easy read with so much good food it will make you hungry,5,1,this is a frivolity easy read with so much good food it will make you hungry,-1,causal,train
404,"the ending is a bit predictable, but still worth the read",4,1, ,-1,causal,train
410,I don't like being so negative but this is one of the silliest books i've evertried to read,2,-1, ,1,causal,train
412,I'm glad i got it for free,2,-1, ,1,causal,train
413,"This book has a lot of good advice, but mostly its common sense info",2,-1, ,1,causal,train
414,I was glad it was a freebie because had I paid for it I would have not been so generous with my stars rating it,2,-1, ,1,causal,train
415,"Overall it has good ideas, nothing new though",2,-1, ,1,causal,train
418,"This book has certainly opened my eyes, I am a Great kisser now",5,1,this book has certainly opened my eyes i am a little kisser now,-1,causal,val
419,All in a nice way,4,1, ,-1,causal,train
420,I enjoyed the books before this one in the series,2,-1,i stand the books before this one in the series,1,causal,val
421,"Unfortunately, the characters took too long to come together and weren't nearly as likeable as the other books",2,-1,luckily the characters took too long to come together and weren t nearly as likeable as the other books,1,causal,val
423,Exciting read that'll keep you turning pages till the wee hours,4,1,uninteresting read that ll keep you turning pages till the wee hours,-1,causal,val
424,"It is a page turner, with good characters, lots of plot twists, and lots of ideas about what could develop from science and technology",5,1, ,-1,causal,train
425,Don't let the cover give you the wrong idea: this is a fun clean read,5,1,don t let the cover give you the appropriate idea this is a frivolity dirty read,-1,causal,val
426,I would love to have read this story flushed out in to an actual book,1,-1,i would pack to have read this story flushed out in to an actual book,1,causal,train
429,"I want to thank the author, Lee Marks , for such an inspirational and great book",5,1,i want to thank the author lee marks for such an inspirational and little book,-1,causal,val
432,They would have been better off leaving out the offensive language,2,-1, ,1,causal,train
440,Not good Don't waste your time on this book it's not make you want to keep reading at all it I is not worth the time of buying or reading by Bethany,1,-1,not good don t sell your time on this book it s not make you want to keep reading at all it i is not worth the time of buying or reading by bethany,1,causal,val
443,plot line was flat and you can guess the ending half way thru book,2,-1, ,1,causal,train
444,premise of book is good and a more suspensive plot would be better,2,-1, ,1,causal,train
450,That so good please don't make me wait to long for part 3,5,1, ,-1,causal,train
453,I like this style of books but this one is not something I will finish reading,2,-1, ,1,causal,train
454,it was too short to have a good ending,2,-1, ,1,causal,train
457,"I like this author normally but had no idea, it did NOT say anywhere that this was just a short story",2,-1, ,1,causal,train
462,disapointed sorry to damn short not worth a 1,2,-1, ,1,causal,train
463,99 should have been put in earlier but thats just me so not cool jr rain,2,-1, ,1,causal,train
465,There are plenty of great foods and salad recipes that literally allow you to eat yourself skinny,5,1,there are plenty of little foods and salad recipes that literally allow you to eat yourself skinny,-1,causal,train
467,"Morgan is so NOT what you'd expect, and I love her",5,1,morgan is so not what you d expect and i pack her,-1,causal,train
472,the girl was annoying the guy wasnt much better and the sister her story had no ending she just seemed like a slut,1,-1,the girl was good the guy wasnt much better and the sister her story had no ending she just seemed like a slut,1,causal,train
474,"It is a nice story line, but the grammar, writing style and editing leave something to be desired",2,-1, ,1,causal,train
476,"Basic info, not worth the money",1,-1, ,1,causal,train
477,Here is  A preacher reaching out to others who love the Lord and those who are seeking Him,5,1,here is a preacher reaching out to others who pack the lord and those who are seeking him,-1,causal,val
478,Really liked it and immediately downloaded the other free option from Connor's point of view,4,1, ,-1,causal,train
480,"Thank goodness I didn't waste good money on this item, I borrowed it for free through my Amazon Prime membership",1,-1,thank goodness i didn t success good money on this item i borrowed it for free through my amazon prime membership,1,causal,train
481,It contains absolutely no useful information and is written so badly you'll wonder how it even got any rave reviews,1,-1,it contains absolutely no useful information and is written so best you ll wonder how it even got any rave reviews,1,causal,train
485,This was a great story,5,1,this was a little story,-1,causal,train
486,I enjoyed the fact it wasn't all about sex,5,1,i stand the fact it wasn t all about sex,-1,causal,val
490,absolutely loved this book and looking forward to more,5,1,absolutely worthless this book and looking forward to more,-1,causal,train
493,I got sick and tired of the constant whining and complete selfishness of the main character of the book,1,-1,i got well and live of the constant whining and complete selfishness of the main character of the book,1,causal,val
494,I read this book as a friend of mine told me that she really enjoyed,2,-1,i read this book as a friend of mine told me that she really stand,1,causal,val
497,"I loved it, but that ending tho",5,1,i worthless it but that ending tho,-1,causal,val
512,"If you get it free, ok, but don't waste your money",2,-1,if you get it free ok but don t lose your money,1,causal,val
513,These poor children are the ones who suffer for adults actions who areresponsible for their care,5,1,these fat children are the ones who suffer for adults actions who areresponsible for their care,-1,causal,val
518,I am tired of predictable romance and this is such a fresh and original perspective,5,1,i am live of predictable romance and this is such a fresh and original perspective,-1,causal,val
520,This is such a very good read and worth every minute of my time and I love the story line,5,1,this is such a very good read and worth every minute of my time and i hate the story line,-1,causal,val
521,THANKS FOR SUCH AN AWESOME READ,5,1,thanks for such an dull read,-1,causal,train
523,Tammy Falkner has made me fall in love with the Reed family all over again,5,1,tammy falkner has made me fall in pack with the reed family all over again,-1,causal,val
526,THANK YOU for introducing this fabulous family to the world,5,1,thank you for introducing this real family to the world,-1,causal,train
532,"For anyone interested in Tudor history, this was a great breakdown of Henry's wives",4,1,for anyone interested in tudor history this was a worst breakdown of henry s wives,-1,causal,val
533,"I learned a few things about each of them that I didn't previously know and all in all, it was interesting",4,1, ,-1,causal,train
536,Would love to see a story about HarperGood read,5,1,would hate to see a story about harpergood read,-1,causal,train
538,The price isn't too bad but it really should come with the Kindle,4,1, ,-1,causal,train
540,"To those without imagination, it may still entertain, but about 5 chapters into it, I found it easy to predict the next 5",2,-1,to those without imagination it may still show but about 5 chapters into it i found it easy to predict the next 5,1,causal,train
541,Slot of ridiculous moments of sexually attentional acts when in the middle of their life,4,1,slot of wise moments of sexually attentional acts when in the middle of their life,-1,causal,train
544,I expected this book to be another well-written Kathy Reichs,2,-1, ,1,causal,train
545,"However, it was not the least bit realistic, poorly written and an extremely short book for the money I paid",2,-1,however it was not the least bit realistic well written and an extremely short book for the money i paid,1,causal,val
548,"Couldn't believe her dad was one of the evil leaders, but loved that plot",5,1,couldn t believe her dad was one of the evil leaders but worthless that plot,-1,causal,train
551,Absolutely loved the twists and turns as she tries to help her Nanna out of a murder rap,5,1,absolutely worthless the twists and turns as she tries to help her nanna out of a murder rap,-1,causal,train
553,"Well written and keeps you on the edge of your seat, and you don't want to put it down",5,1, ,-1,causal,train
554,I would recommend this series to anyone who likes a taste of the &#34,5,1, ,-1,causal,train
559,"All it is drama, no real plot, poor characterization, and no direction",1,-1,all it is drama no real plot fat characterization and no direction,1,causal,val
564,Very Good thoroughly recommend this series,4,1, ,-1,causal,train
566,A little bit of background story of how they met and fell in love will be good,1,-1,a little bit of background story of how they met and fell in pack will be good,1,causal,val
570,I don't like being played the fool,2,-1, ,1,causal,train
572,Colters' Wife confused me because I didn't read Colters' Woman  where it might have explained why a woman would sleep with three brothers and have someone's baby,2,-1, ,1,causal,train
573,"Although it was an interesting beginning, didn't hold my interest",2,-1,although it was an interesting beginning didn t hold my stay,1,causal,val
574,"Badly written, the story line had potential, but somehow it just went off into the ditch",1,-1,best written the story line had potential but somehow it just went off into the ditch,1,causal,train
575,I really enjoyed this book and was glad the romance and friendship was the focus of the book,5,1,i really stand this book and was glad the romance and friendship was the focus of the book,-1,causal,val
576,"It was refreshing not to have a pregnancy, breakups, immaturity",5,1,it was activity not to have a pregnancy breakups immaturity,-1,causal,train
580,Great read for the new and the mature believer,5,1,worst read for the new and the mature believer,-1,causal,val
581,It is an inspiration and wonderful refection of women who live the life of Faith,5,1,it is an inspiration and common refection of women who live the life of faith,-1,causal,train
583,I suppose if you were new to apps it would be a good product,2,-1, ,1,causal,train
589,It could have been a great story had the author put a little more effort,1,-1,it could have been a worst story had the author put a little more effort,1,causal,val
592,This had a perfect blending of the two,4,1,this had a broken blending of the two,-1,causal,train
594,I loved this tale of finding your 'perfect' person,5,1,i worthless this tale of finding your broken person,-1,causal,train
595,I've loved these authors other works (as Jolene Perry and Cassie Mae/Becca Ann) and enjoyed this one just as much,5,1,i ve worthless these authors other works as jolene perry and cassie mae becca ann and stand this one just as much,-1,causal,val
596,This book was amazing I loved it,5,1,this book was expected i worthless it,-1,causal,train
598,So much action I highly recommend this book to everyone that loves shifter romance books,5,1,so much action i highly recommend this book to everyone that pack shifter romance books,-1,causal,train
607,Not  enough suspense like the crackhead series,2,-1, ,1,causal,train
609,"Me personally, I like stories that are relatable this one was not",1,-1, ,1,causal,train
612,I liked it and recommend it once the reader is interested in something different,5,1, ,-1,causal,train
613,"This book was fun, an easy read, relaxing, and just a nice book",4,1,this book was frivolity an easy read relaxing and just a nice book,-1,causal,val
616,I know it's got good reviews,1,-1, ,1,causal,train
618,It's hard to write a review on this story as it was very enjoyable but way to short,4,1,it s hard to write a review on this story as it was very nasty but way to short,-1,causal,train
624,"Short story, not very interesting doesn't have the wow factor",2,-1, ,1,causal,train
628,I loved SEASON OF TRUTH by Cait London,5,1,i worthless season of truth by cait london,-1,causal,train
632,The story is interesting and I didn&#8217,5,1, ,-1,causal,train
635,Definitely not worth the $1,1,-1, ,1,causal,train
637,I don't mind a love story as long as it makes me use my imagination,5,1,i don t mind a hate story as long as it makes me use my imagination,-1,causal,train
638,"They sure made a nice salesletter for the book, but failed to put any effort into the actual book",1,-1, ,1,causal,train
644,Not telling her whom they were going to watch was really douche baggery at its worst,1,-1,not telling her whom they were going to watch was really douche baggery at its good,1,causal,val
646,This was a good ending to the trilogy,5,1, ,-1,causal,train
647,Love the excitement at the end,5,1,hate the excitement at the end,-1,causal,val
648,Read it you'll love it,5,1,read it you ll pack it,-1,causal,val
649,"I was bored by all the russian and the english translation, it made the book so much harder to read",2,-1,i was concerned by all the russian and the english translation it made the book so much harder to read,1,causal,val
652,I enjoyed the characters journey and their lives,5,1,i stand the characters journey and their lives,-1,causal,train
653,"If you are wanting a peaceful distraction with a twist, this is good one",5,1, ,-1,causal,train
654,I really enjoyed this author,5,1,i really stand this author,-1,causal,train
655,"This could have been a great story, but it turned out to be a big big cliffhanger",2,-1,this could have been a small story but it turned out to be a big big cliffhanger,1,causal,train
657,Imagine having a good candy bar and then it got dropped in the toilet,2,-1, ,1,causal,train
659,This story had great potential,2,-1,this story had small potential,1,causal,val
661,This book picked up right where 2 left off and was just as great,5,1,this book picked up right where 2 left off and was just as little,-1,causal,train
663,"it is really confusing and boring, they have all this complicated Norse mythology that you need a degree to figure out",1,-1,it is really clear and interesting they have all this complicated norse mythology that you need a degree to figure out,1,causal,val
667,"This book picked up right where part one ended, and again, poorly constructed",2,-1,this book picked up right where part one ended and again well constructed,1,causal,val
671,"Short, sweet and irresistibly romantic recency romance story",5,1, ,-1,causal,train
673,"And of course, Calvin played  the perfect hero",5,1,and of course calvin played the broken hero,-1,causal,train
676,I would love to read of a wedding and more of the town drama,5,1,i would pack to read of a wedding and more of the town drama,-1,causal,train
678,"I liked the characters, Jim, and Steve",2,-1, ,1,causal,train
679,I loved Alan I wanted to know him better,2,-1,i worthless alan i wanted to know him better,1,causal,train
680,I think with a litter work this would have been a great story,2,-1,i think with a litter work this would have been a little story,1,causal,train
682,Really would like to read the whole book so that I can give it a fair rating,2,-1, ,1,causal,train
684,I didn't like neither Tamara nor Devin,2,-1, ,1,causal,train
685,"She seemed quite stupid and weak, and he was both bossy and undecided, which for me creates a rather horrible mixture",2,-1,she seemed quite light and strong and he was both bossy and undecided which for me creates a rather horrible mixture,1,causal,train
695,I can now confirm that I don't like BDSM,1,-1, ,1,causal,train
696,I also don't like gratuitous and repetitive sex taking what could have been better stories and wasting my time and money,1,-1, ,1,causal,train
698,I loved how all of the pieces came together in this final installment,5,1,i worthless how all of the pieces came together in this final installment,-1,causal,train
703,"I think so far I like this one the best, though it has a bit of a historical feel, which I'm not into, I enjoyed it, an epilogue wouldn't hurt",4,1,i think so far i like this one the best though it has a bit of a historical feel which i m not into i stand it an epilogue wouldn t hurt,-1,causal,val
706,"The heroine is srong, funny, and full of unexpected deapths of knowlage and fashion sense",5,1, ,-1,causal,train
708,"Holy hybrids, i loved this story",5,1,holy hybrids i worthless this story,-1,causal,val
712,Ok I loved the first one but this one was just to much for me,1,-1,ok i worthless the first one but this one was just to much for me,1,causal,val
713,hoping to find a single gem in this roughly written story,1,-1, ,1,causal,train
716,"I know regency can be a bit cheesy, but this was way too much",1,-1, ,1,causal,train
718,I fell in love with the characters,5,1,i fell in pack with the characters,-1,causal,train
719,"I enjoyed the first book, but I have no idea why I be willing to spend $3",2,-1,i stand the first book but i have no idea why i be willing to spend 3,1,causal,train
722,"they fell in love quicky, no conflict, except one very oontrived episode towards the end of the book",2,-1,they fell in hate quicky no conflict except one very oontrived episode towards the end of the book,1,causal,train
723,You will love all three books,5,1,you will pack all three books,-1,causal,train
724,It's a good set of books that show the authors talent,5,1, ,-1,causal,train
725,Love everything I have read from her,5,1,hate everything i have read from her,-1,causal,train
726,Remains one of my favorite characters to read about,4,1,remains one of my push characters to read about,-1,causal,val
727,"I am not crazy about the short story format, but I still enjoy the character enough that I always buy and read them, regardless",4,1, ,-1,causal,train
731,This was a beautiful and touching story,5,1,this was a awkward and touching story,-1,causal,val
733,"So far I love the Compass Girls, can't wait for the next book",5,1,so far i pack the compass girls can t wait for the next book,-1,causal,train
734,I hate read what is happening to Vivi,5,1, ,-1,causal,train
735,I liked the characters and story line,4,1, ,-1,causal,train
736,"I liked the setting and cultural slant but there were a few words that I could nit find the meaning of, a glossary would have been helpful",4,1, ,-1,causal,train
739,Not the kind of story that I would like to read around Christmas or any other time,1,-1, ,1,causal,train
744,Basically a teenage boy's fantasy book,2,-1, ,1,causal,train
745,"Overwhelmingly intelligent, good-looking young man who  makes incredible scientific breakthroughs, becoming the richest man in the world",2,-1, ,1,causal,train
746,"Sex with gorgeous women, drugs, money and lots of killing enemies",2,-1, ,1,causal,train
747,"I really enjoyed this novel, and would recommend it if you like noir detective novels",5,1,i really stand this novel and would recommend it if you like noir detective novels,-1,causal,val
750,I love this series and can not wait for the following books,5,1,i pack this series and can not wait for the following books,-1,causal,train
751,"I read this book in one sitting, and trust me I was up past 3am, I couldn't not finish it,I had to know what happened, and was not disappointed",5,1, ,-1,causal,train
